Model Name,Colors,Engine Types,Type,Description,Price,Discount,Delivery Time,0-60 Miles,Torque,MPG,Horsepower,Transmission,Warranty,Weight,Seats,Top Speed,Range,Picture
Swiftura,Midnight Blue; Pearl White; Crimson Red,Hybrid; Electric,Sports Car,"The Swiftura is a high-performance sports car designed for agility and style, featuring aerodynamic lines and state-of-the-art technology.","$55,000 ",10%,3-5 months,4.2 sec,350 lb-ft,75,300 hp,Automatic,5 years,3200 lbs,2,160 mph,280 miles,https://raw.githubusercontent.com/asuchank/clus/main/swiftura200.png
TerraX,Forest Green; Desert Sand; Ocean Gray,Gas; Hybrid,SUV,"TerraX offers robust off-road capabilities with luxurious interior comfort, ideal for adventurers.","$45,000 ",8%,4-6 months,8.5 sec,400 lb-ft,20,250 hp,Automatic,3 years,4000 lbs,5,130 mph,,https://raw.githubusercontent.com/asuchank/clus/main/terrax200.png
Urbana,Jet Black; Sunset Orange; Glacier Silver,Gas; Electric,Sedan,"Urbana is a sleek and efficient sedan perfect for city driving, combining modern design with cutting-edge features.","$35,000 ",5%,2-4 months,7.0 sec,300 lb-ft,30,200 hp,Manual,3 years,3200 lbs,5,140 mph,300 miles,https://raw.githubusercontent.com/asuchank/clus/main/urbana200.png
SkyLux,Sky Blue; Graphite Gray; Cherry Blossom Pink,Hybrid,Sports Car,"SkyLux blends elegance with power, providing a thrilling driving experience in a stylish package.","$60,000 ",12%,3-5 months,4.5 sec,360 lb-ft,70,320 hp,Automatic,5 years,3300 lbs,2,155 mph,,https://raw.githubusercontent.com/asuchank/clus/main/skylux200.png
Quantara,Solar Yellow; Cosmic Purple; Stormy Black,Electric,Crossover,"Quantara is a futuristic crossover with advanced electric technology, offering unparalleled efficiency and space.","$50,000 ",10%,4-6 months,6.8 sec,300 lb-ft,,280 hp,Automatic,5 years,3500 lbs,5,145 mph,300 miles,https://raw.githubusercontent.com/asuchank/clus/main/quantara200.png
EcoPulse,Lime Green; Arctic White; Sapphire Blue,Hybrid,Hatchback,EcoPulse is an eco-friendly hatchback known for its compact design and economical performance.,"$25,000 ",5%,2-4 months,10.0 sec,250 lb-ft,50,150 hp,Manual,3 years,2800 lbs,4,120 mph,,https://raw.githubusercontent.com/asuchank/clus/main/ecopulse200.png
Velocis,Inferno Red; Steel Gray; Ice Blue,Electric,Convertible,"Velocis is an electric convertible that stands out for its speed and open-top freedom, perfect for sunny drives.","$70,000 ",15%,3-5 months,3.9 sec,400 lb-ft,,340 hp,Automatic,5 years,3200 lbs,2,165 mph,250 miles,https://raw.githubusercontent.com/asuchank/clus/main/velocis200.png
TrailBlaze,Canyon Brown; Alpine White; Lava Orange,Gas,SUV,"TrailBlaze is built for rugged terrains, offering durability and strength for all your adventures.","$40,000 ",8%,4-6 months,9.0 sec,420 lb-ft,18,280 hp,Automatic,3 years,4200 lbs,5,125 mph,,https://raw.githubusercontent.com/asuchank/clus/main/trailbalze200.png
Farlaga,Neon Green; Titanium Silver; Deep Sea Blue,Hybrid,Minivan,"Farlaga is a spacious minivan with advanced hybrid technology, designed for family comfort and safety.","$38,000 ",7%,3-5 months,9.5 sec,300 lb-ft,25,200 hp,Automatic,3 years,4000 lbs,7,115 mph,,https://raw.githubusercontent.com/asuchank/clus/main/farlaga200.png
HorizonMax,Sunrise Gold; Onyx Black; Arctic Blue,Gas,Pickup Truck,"HorizonMax combines heavy-duty capability with modern design, perfect for transporting goods and towing.","$55,000 ",10%,5-7 months,8.0 sec,450 lb-ft,15,350 hp,Automatic,3 years,4500 lbs,5,135 mph,,https://raw.githubusercontent.com/asuchank/clus/main/horizonmax200.png
Thundra,Ruby Red; Carbon Black; Platinum Silver,Electric,Supercar,"Thundra is an ultra-fast supercar with electric propulsion, delivering unmatched acceleration and cutting-edge design.","$1,500,000 ",20%,6-8 months,2.5 sec,700 lb-ft,,1000 hp,Automatic,5 years,3500 lbs,2,210 mph,350 miles,https://raw.githubusercontent.com/asuchank/clus/main/thundra200.png
LightStar,Electric Blue; Jet Black; Silver Streak,Hybrid,Supercar,"LightStar is a hybrid supercar that merges speed with sustainability, featuring advanced aerodynamics and luxury.","$1,400,000 ",18%,5-7 months,2.8 sec,680 lb-ft,70,900 hp,Automatic,5 years,3400 lbs,2,205 mph,,https://raw.githubusercontent.com/asuchank/clus/main/lightstar200.png
Phantasm,Obsidian Black; Emerald Green; Crystal White,Gas,Supercar,"Phantasm is a gas-powered supercar known for its raw power and exclusive style, perfect for collectors.","$1,600,000 ",25%,6-8 months,2.7 sec,750 lb-ft,15,1100 hp,Automatic,5 years,3600 lbs,2,215 mph,,https://raw.githubusercontent.com/asuchank/clus/main/phantasm200.png
